dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.34692524428645793	0.332796538817972	0.36004710928816264	1060	845	211	ok	+0.347 [0.333, 0.360]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.23304467607859986	0.21823240142338027	0.2483681843700434	1060	845	211	ok	+0.233 [0.218, 0.248]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.3728547363623923	0.3603672895745057	0.38485099412622803	1060	845	211	ok	+0.373 [0.360, 0.385]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_centroid_direction_agreement_pair_p05	0.7244357240285955	0.7121062176015575	0.7359332611555355	1060	1054	256	ok	0.724 [0.712, 0.736]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05	0.5705676466854935	0.5650474978009998	0.5761060192522752	1060	845	211	ok	0.571 [0.565, 0.576]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.9281534646683196	0.9121345159039974	0.9409069386823873	1060	845	211	ok	0.928 [0.912, 0.941]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.9269666860946886	0.9100106107512965	0.9399217482872669	1060	845	211	ok	0.927 [0.910, 0.940]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.14347977524435376	0.1391753189286473	0.147202654991342	1060	845	211	ok	0.143 [0.139, 0.147]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_centroid_direction_agreement_pair_p05	0.6406211271284356	0.628826501932252	0.6514951433400581	1060	1056	256	ok	0.641 [0.629, 0.651]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05	0.5446381546095591	0.5395027896943942	0.5498320992741835	1060	845	211	ok	0.545 [0.540, 0.550]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9400202768542286	0.9243645992637974	0.9527641848336315	1060	845	211	ok	0.940 [0.924, 0.953]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9390309760700875	0.9231825385878283	0.9519493431634203	1060	845	211	ok	0.939 [0.923, 0.952]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.1305453979076422	0.12668164644723415	0.134338916325347	1060	845	211	ok	0.131 [0.127, 0.134]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	baseline_pair_direction_agreement_p05	0.7241214080016491	0.6951565075415418	0.7520787083686181	162	155	90	ok	0.724 [0.695, 0.752]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	delta_vs_baseline_pair_direction_agreement_p05	0.13056664462846093	0.07967805025724094	0.1786111119328905	162	66	46	ok	+0.131 [0.080, 0.179]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	observed_direction_agreement_p05	0.8898938576990447	0.8506133218043677	0.9263409984995142	162	66	46	ok	0.890 [0.851, 0.926]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.13056664462846093	0.08216855540801006	0.1796579427578037	162	66	46	ok	+0.131 [0.082, 0.180]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.31958788850279224	0.27179283705831064	0.3555008871271131	162	66	46	ok	+0.320 [0.272, 0.356]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.22348391238737317	0.1791684480804785	0.2593875032481953	162	66	46	ok	+0.223 [0.179, 0.259]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.35513978188068884	0.31546121989930365	0.3899215546467315	162	66	46	ok	+0.355 [0.315, 0.390]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_centroid_direction_agreement_pair_p05	0.7241214080016491	0.6922914667504542	0.7514600490861465	162	155	90	ok	0.724 [0.692, 0.751]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05	0.5703059691962524	0.5617672846311996	0.5791529036529223	162	66	46	ok	0.570 [0.562, 0.579]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.873405358750936	0.8093661152764352	0.9146914373395035	162	66	46	ok	0.873 [0.809, 0.915]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.8722588057818029	0.8098096363171681	0.9137908014904321	162	66	46	ok	0.872 [0.810, 0.914]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.16264456189536983	0.14753218368347423	0.18116348600051596	162	66	46	ok	0.163 [0.148, 0.181]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_centroid_direction_agreement_pair_p05	0.6289505582239254	0.6026572494557504	0.6513024740317631	162	155	90	ok	0.629 [0.603, 0.651]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05	0.5347540758183557	0.5285548330495733	0.5471722268664801	162	66	46	ok	0.535 [0.529, 0.547]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9048285986926033	0.844973864084175	0.9422481735811209	162	66	46	ok	0.905 [0.845, 0.942]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9039258376249005	0.8462431898898314	0.9404718275606457	162	66	46	ok	0.904 [0.846, 0.940]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.12133963111268072	0.10473456003378807	0.14179690034181605	162	66	46	ok	0.121 [0.105, 0.142]
