dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.0403457531321289	0.0362011624906369	0.0449822360834723	162	162	90	ok	0.040 [0.036, 0.045]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.5710545961335418	0.5352798616254075	0.6076727173221617	162	162	90	ok	0.571 [0.535, 0.608]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.5678898696020911	0.5355947348455751	0.6100774325974415	162	162	90	ok	0.568 [0.536, 0.610]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.124601961691775	0.1189600129820587	0.1320831805212848	162	162	90	ok	0.125 [0.119, 0.132]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	0.0436585628875058	0.031876548588282	0.0562778820333227	162	162	90	ok	0.044 [0.032, 0.056]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0059374178650816	0.0046639687537883	0.0073851738728364	162	162	90	ok	0.006 [0.005, 0.007]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.6922116348870975	0.6428864983259094	0.7364278871648536	162	162	90	ok	0.692 [0.643, 0.736]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.6903638026833415	0.6382827477605892	0.7359427735371565	162	162	90	ok	0.690 [0.638, 0.736]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.0516766368319718	0.0488059237659885	0.0555744499918948	162	162	90	ok	0.052 [0.049, 0.056]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.172328720279727	-0.1919829134017854	-0.1456506696752685	114	114	86	ok	-0.172 [-0.192, -0.146]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	-0.0144607206919002	-0.0337418619527405	0.0100519147941331	114	114	86	ok	-0.014 [-0.034, 0.010]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.0494303253143511	0.0291624714639361	0.0754880025255831	114	114	86	ok	+0.049 [0.029, 0.075]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.0448415300574566	0.0260037116882297	0.0706528959132065	114	114	86	ok	+0.045 [0.026, 0.071]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_observed_spearman_logfc	0.0456591414339293	0.0254505668133104	0.0703960562250656	114	114	86	ok	0.046 [0.025, 0.070]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_source_centroid_spearman_logfc_pair	0.2179878617136564	0.2025701229069347	0.2342050259738074	114	114	86	ok	0.218 [0.203, 0.234]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.0601198621258296	0.0554623220068255	0.0648580329420194	114	114	86	ok	0.060 [0.055, 0.065]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.4651811398532155	0.4253056176911879	0.5148252602859943	114	114	86	ok	0.465 [0.425, 0.515]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.462258611125666	0.4191512701106625	0.5094123647717358	114	114	86	ok	0.462 [0.419, 0.509]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.1492444999410066	0.142031652505661	0.1562144312144074	114	114	86	ok	0.149 [0.142, 0.156]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	-0.0037711838804218	-0.011254295132966	0.003764468214105	114	114	86	ok	-0.004 [-0.011, 0.004]
