dataset_pair	dataset_a	dataset_b	similarity_metric	scale_variant	metric	mean	ci_low	ci_high	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_rows	n_finite_rows	n_compounds	uncertainty_scope
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.6841549277142749	0.6421479114740558	0.7257799011089792	bca	ok	0.95	2000	1897	1897	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0564082335090647	0.0322697507853287	0.1031104099982235	bca	ok	0.95	2000	1897	1897	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.5294986602394696	0.4958100131686159	0.576078343495754	bca	ok	0.95	2000	1897	1876	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6201054281200189	0.6032605034714756	0.6357716377346039	bca	ok	0.95	2000	1897	1876	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.6753610510692764	0.6340796262427911	0.7157067149128029	bca	ok	0.95	2000	1897	1887	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Sciplex	l1000_phase1	sciplex	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5239399479313467	0.5173918038605321	0.5309296719659775	bca	ok	0.95	2000	1897	1887	90	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	-0.0069824087925285	-0.0669245670138094	0.0558607244998602	bca	ok	0.95	2000	692	675	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.1362758957482927	0.066550623321149	0.2073140378928548	bca	ok	0.95	2000	692	687	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	observed_auroc	0.6544081733552428	0.5864156931516153	0.7187664546037184	bca	ok	0.95	2000	692	692	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.6555879448419628	0.5891313965584138	0.7216902522109014	bca	ok	0.95	2000	692	692	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0943544475065473	0.0453035271324852	0.1719958530863643	bca	ok	0.95	2000	692	692	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.4888229595174767	0.4355684731523209	0.5770691922739385	bca	ok	0.95	2000	692	675	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6582242603748873	0.62931851346889	0.6822978653462266	bca	ok	0.95	2000	692	675	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.6547882461783135	0.5834437933543934	0.7291795817163923	bca	ok	0.95	2000	692	687	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase1–Tahoe	l1000_phase1	tahoe	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5128741798000471	0.5018256739829277	0.5203846816812236	bca	ok	0.95	2000	692	687	86	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.2206340055038979	0.1383570567470277	0.285183451388221	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.28631011390037	0.2204086155418947	0.3349153479067461	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_auroc	0.8415441850528298	0.7705692664847533	0.8958389575547623	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.84170320925291	0.7671425020935078	0.8936189293650675	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.1984384037015616	0.1268489983491532	0.2955918968413697	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.6727968845996313	0.611020269101516	0.7296992089551781	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6210692037490122	0.6032913908346345	0.6362473517802665	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.8283280027541444	0.7588716504547024	0.8837456375841475	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5553930953525399	0.543518307616212	0.564929140175663	bca	ok	0.95	2000	372	372	68	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.1777714210991553	0.1378303869548665	0.2156173808479567	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.2384692719916527	0.2006112693413584	0.2770519774365004	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	observed_auroc	0.7523345120061773	0.7142238329178856	0.7895011316762998	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.7527399049207415	0.7159219392070826	0.7887462369757824	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0605852319496055	0.0387403907279652	0.0879620887435533	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
