dataset_name	similarity_metric	scale_variant	n_conditions	n_compounds	mean_candidates	Observed rank [95% CI]	Recall@1 [95% CI]	AUROC [95% CI]	Null rank	Centroid rank [95% CI]	Delta centroid [95% CI]	Observed minus null [95% CI]
novartis_batch_2500	cosine	per_gene_population_zscore_dataset	15276	3819	48607.0	0.890 [0.888, 0.892]	0.058 [0.052, 0.065]	0.792 [0.788, 0.796]	0.677	0.900 [0.897, 0.902]	-0.010 [-0.013, -0.006]	0.213 [0.211, 0.216]
novartis_batch_2500	cosine	per_gene_population_zscore_dataset_cell_type	15276	3819	48607.0	0.890 [0.887, 0.892]	0.058 [0.052, 0.066]	0.792 [0.788, 0.796]	0.677	0.900 [0.897, 0.902]	-0.010 [-0.013, -0.006]	0.213 [0.211, 0.216]
novartis_batch_2500	cosine	raw	15276	3819	48607.0	0.865 [0.862, 0.868]	0.055 [0.048, 0.062]	0.754 [0.750, 0.758]	0.677	0.965 [0.962, 0.967]	-0.100 [-0.103, -0.096]	0.189 [0.186, 0.191]
novartis_batch_2500	spearman	per_gene_population_zscore_dataset	15276	3819	48607.0	0.892 [0.890, 0.895]	0.056 [0.050, 0.064]	0.796 [0.792, 0.800]	0.677	0.882 [0.880, 0.885]	0.010 [0.007, 0.014]	0.216 [0.213, 0.218]
novartis_batch_2500	spearman	per_gene_population_zscore_dataset_cell_type	15276	3819	48607.0	0.892 [0.890, 0.895]	0.056 [0.050, 0.064]	0.796 [0.792, 0.800]	0.677	0.882 [0.879, 0.884]	0.010 [0.007, 0.014]	0.216 [0.213, 0.218]
novartis_batch_2500	spearman	raw	15276	3819	48607.0	0.873 [0.870, 0.875]	0.054 [0.048, 0.061]	0.767 [0.763, 0.771]	0.677	0.947 [0.944, 0.950]	-0.074 [-0.078, -0.070]	0.196 [0.194, 0.199]
op3	cosine	per_gene_population_zscore_dataset	541	138	400.91682070240296	0.798 [0.775, 0.823]	0.112 [0.081, 0.159]	0.710 [0.678, 0.744]	0.663	0.857 [0.843, 0.870]	-0.059 [-0.085, -0.032]	0.136 [0.110, 0.160]
op3	cosine	per_gene_population_zscore_dataset_cell_type	541	138	400.91682070240296	0.800 [0.774, 0.822]	0.114 [0.080, 0.160]	0.713 [0.681, 0.745]	0.663	0.273 [0.253, 0.289]	0.527 [0.492, 0.568]	0.137 [0.112, 0.163]
op3	cosine	raw	541	138	400.91682070240296	0.769 [0.742, 0.798]	0.112 [0.079, 0.160]	0.665 [0.625, 0.703]	0.663	0.863 [0.836, 0.887]	-0.094 [-0.124, -0.059]	0.107 [0.077, 0.135]
op3	spearman	per_gene_population_zscore_dataset	541	138	400.91682070240296	0.806 [0.780, 0.827]	0.114 [0.078, 0.155]	0.718 [0.685, 0.749]	0.663	0.856 [0.843, 0.867]	-0.051 [-0.076, -0.025]	0.143 [0.119, 0.167]
op3	spearman	per_gene_population_zscore_dataset_cell_type	541	138	400.91682070240296	0.811 [0.788, 0.832]	0.115 [0.082, 0.159]	0.724 [0.692, 0.754]	0.663	0.254 [0.236, 0.273]	0.557 [0.520, 0.593]	0.148 [0.125, 0.173]
op3	spearman	raw	541	138	400.91682070240296	0.776 [0.746, 0.802]	0.115 [0.080, 0.156]	0.676 [0.638, 0.711]	0.663	0.876 [0.850, 0.896]	-0.100 [-0.129, -0.069]	0.114 [0.085, 0.142]
sciplex	cosine	per_gene_population_zscore_dataset	2224	187	1306.091726618705	0.616 [0.595, 0.638]	0.002 [0.001, 0.005]	0.615 [0.593, 0.635]	0.501	0.937 [0.934, 0.939]	-0.321 [-0.343, -0.299]	0.114 [0.093, 0.134]
sciplex	cosine	per_gene_population_zscore_dataset_cell_type	2224	187	1306.091726618705	0.616 [0.594, 0.639]	0.003 [0.002, 0.006]	0.615 [0.594, 0.640]	0.501	0.920 [0.908, 0.925]	-0.304 [-0.328, -0.276]	0.115 [0.093, 0.139]
sciplex	cosine	raw	2224	187	1306.091726618705	0.611 [0.590, 0.635]	0.002 [0.001, 0.004]	0.610 [0.589, 0.634]	0.501	0.942 [0.941, 0.944]	-0.331 [-0.353, -0.309]	0.110 [0.086, 0.132]
sciplex	spearman	per_gene_population_zscore_dataset	2224	187	1306.091726618705	0.639 [0.620, 0.662]	0.002 [0.001, 0.004]	0.639 [0.618, 0.659]	0.501	0.936 [0.932, 0.938]	-0.297 [-0.317, -0.274]	0.138 [0.117, 0.160]
sciplex	spearman	per_gene_population_zscore_dataset_cell_type	2224	187	1306.091726618705	0.644 [0.623, 0.665]	0.003 [0.001, 0.005]	0.643 [0.622, 0.665]	0.501	0.912 [0.902, 0.918]	-0.269 [-0.291, -0.241]	0.142 [0.123, 0.163]
sciplex	spearman	raw	2224	187	1306.091726618705	0.616 [0.594, 0.639]	0.002 [0.001, 0.004]	0.615 [0.594, 0.639]	0.501	0.942 [0.940, 0.943]	-0.326 [-0.347, -0.303]	0.115 [0.092, 0.140]
tahoe	cosine	per_gene_population_zscore_dataset	7226	114	320.3587046775533	0.648 [0.611, 0.687]	0.024 [0.008, 0.060]	0.642 [0.605, 0.679]	0.509	0.902 [0.881, 0.919]	-0.254 [-0.292, -0.205]	0.138 [0.102, 0.174]
tahoe	cosine	per_gene_population_zscore_dataset_cell_type	7226	114	320.3587046775533	0.669 [0.634, 0.702]	0.026 [0.009, 0.061]	0.664 [0.630, 0.696]	0.509	0.832 [0.794, 0.861]	-0.163 [-0.206, -0.096]	0.160 [0.126, 0.191]
tahoe	cosine	raw	7226	114	320.3587046775533	0.577 [0.537, 0.622]	0.016 [0.004, 0.047]	0.570 [0.530, 0.612]	0.509	0.932 [0.919, 0.945]	-0.355 [-0.390, -0.304]	0.068 [0.027, 0.112]
tahoe	spearman	per_gene_population_zscore_dataset	7226	114	320.3587046775533	0.658 [0.621, 0.695]	0.023 [0.008, 0.057]	0.652 [0.616, 0.686]	0.509	0.889 [0.865, 0.907]	-0.231 [-0.269, -0.182]	0.148 [0.112, 0.183]
tahoe	spearman	per_gene_population_zscore_dataset_cell_type	7226	114	320.3587046775533	0.675 [0.643, 0.707]	0.025 [0.009, 0.059]	0.669 [0.635, 0.701]	0.509	0.826 [0.787, 0.854]	-0.151 [-0.197, -0.093]	0.165 [0.131, 0.195]
tahoe	spearman	raw	7226	114	320.3587046775533	0.612 [0.568, 0.648]	0.017 [0.005, 0.047]	0.605 [0.566, 0.645]	0.509	0.920 [0.903, 0.935]	-0.308 [-0.345, -0.259]	0.103 [0.063, 0.141]
vcpi_0001	cosine	per_gene_population_zscore_dataset	13283	2272	27143.0	0.959 [0.957, 0.961]	0.035 [0.030, 0.042]	0.958 [0.956, 0.960]	0.505	0.542 [0.536, 0.548]	0.417 [0.411, 0.423]	0.453 [0.451, 0.456]
vcpi_0001	cosine	per_gene_population_zscore_dataset_cell_type	13283	2272	27143.0	0.959 [0.957, 0.961]	0.035 [0.030, 0.043]	0.958 [0.956, 0.960]	0.505	0.542 [0.536, 0.548]	0.417 [0.410, 0.424]	0.453 [0.451, 0.456]
vcpi_0001	cosine	raw	13283	2272	27143.0	0.993 [0.993, 0.993]	0.035 [0.029, 0.041]	0.993 [0.993, 0.993]	0.505	0.894 [0.891, 0.896]	0.100 [0.097, 0.102]	0.488 [0.486, 0.489]
vcpi_0001	spearman	per_gene_population_zscore_dataset	13283	2272	27143.0	0.957 [0.955, 0.959]	0.037 [0.031, 0.044]	0.956 [0.954, 0.958]	0.505	0.528 [0.522, 0.534]	0.429 [0.423, 0.435]	0.452 [0.449, 0.454]
vcpi_0001	spearman	per_gene_population_zscore_dataset_cell_type	13283	2272	27143.0	0.957 [0.955, 0.959]	0.037 [0.031, 0.044]	0.956 [0.954, 0.958]	0.505	0.528 [0.522, 0.534]	0.429 [0.422, 0.435]	0.452 [0.449, 0.454]
vcpi_0001	spearman	raw	13283	2272	27143.0	0.990 [0.989, 0.990]	0.036 [0.030, 0.043]	0.990 [0.989, 0.990]	0.505	0.748 [0.743, 0.754]	0.242 [0.236, 0.247]	0.485 [0.483, 0.486]
vcpi_0002	cosine	per_gene_population_zscore_dataset	8825	1488	19879.0	0.971 [0.969, 0.973]	0.143 [0.127, 0.160]	0.968 [0.966, 0.970]	0.532	0.555 [0.548, 0.561]	0.417 [0.410, 0.423]	0.440 [0.435, 0.443]
vcpi_0002	cosine	per_gene_population_zscore_dataset_cell_type	8825	1488	19879.0	0.971 [0.969, 0.973]	0.143 [0.127, 0.161]	0.968 [0.966, 0.970]	0.532	0.555 [0.548, 0.561]	0.417 [0.410, 0.423]	0.440 [0.435, 0.444]
vcpi_0002	cosine	raw	8825	1488	19879.0	0.991 [0.991, 0.991]	0.141 [0.124, 0.159]	0.990 [0.990, 0.990]	0.532	0.916 [0.912, 0.918]	0.076 [0.073, 0.079]	0.460 [0.455, 0.463]
vcpi_0002	spearman	per_gene_population_zscore_dataset	8825	1488	19879.0	0.971 [0.969, 0.973]	0.145 [0.128, 0.163]	0.968 [0.966, 0.970]	0.532	0.530 [0.524, 0.536]	0.441 [0.434, 0.448]	0.439 [0.435, 0.443]
vcpi_0002	spearman	per_gene_population_zscore_dataset_cell_type	8825	1488	19879.0	0.971 [0.969, 0.973]	0.145 [0.128, 0.163]	0.968 [0.966, 0.970]	0.532	0.530 [0.523, 0.536]	0.441 [0.434, 0.448]	0.439 [0.435, 0.443]
vcpi_0002	spearman	raw	8825	1488	19879.0	0.989 [0.989, 0.990]	0.144 [0.128, 0.161]	0.988 [0.988, 0.989]	0.532	0.837 [0.831, 0.842]	0.152 [0.147, 0.157]	0.458 [0.454, 0.461]
