dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.3470831780408011	0.33289115167102606	0.36012849012358134	1060	845	211	ok	+0.347 [0.333, 0.360]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.23304467607859986	0.21823240142338027	0.2483681843700434	1060	845	211	ok	+0.233 [0.218, 0.248]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.373017872691123	0.36063273336468776	0.3849407356850377	1060	845	211	ok	+0.373 [0.361, 0.385]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_centroid_direction_agreement_pair_p05	0.7244357240285955	0.7121062176015575	0.7359332611555355	1060	1054	256	ok	0.724 [0.712, 0.736]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05	0.5704097129311503	0.5649102154991591	0.5759643458897798	1060	845	211	ok	0.570 [0.565, 0.576]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.92816503462012	0.9121738210496851	0.9410718614743373	1060	845	211	ok	0.928 [0.912, 0.941]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.9270356508338554	0.9102864010833426	0.9400085250532667	1060	845	211	ok	0.927 [0.910, 0.940]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.14352595340128863	0.13932022196401264	0.1472688143338337	1060	845	211	ok	0.144 [0.139, 0.147]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_centroid_direction_agreement_pair_p05	0.6406211271284356	0.628826501932252	0.6514951433400581	1060	1056	256	ok	0.641 [0.629, 0.651]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05	0.5444750182808284	0.5393512056752328	0.549664896446958	1060	845	211	ok	0.544 [0.539, 0.550]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9399949226043937	0.9242518339732271	0.9526350462375124	1060	845	211	ok	0.940 [0.924, 0.953]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9390573030820464	0.9232512088872542	0.9520551982700974	1060	845	211	ok	0.939 [0.923, 0.952]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.13035078966907415	0.12656464035784495	0.1341836759309124	1060	845	211	ok	0.130 [0.127, 0.134]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	baseline_pair_direction_agreement_p05	0.7241214080016491	0.6951565075415418	0.7520787083686181	162	155	90	ok	0.724 [0.695, 0.752]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	delta_vs_baseline_pair_direction_agreement_p05	0.13056664462846093	0.07967805025724094	0.1786111119328905	162	66	46	ok	+0.131 [0.080, 0.179]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	observed_direction_agreement_p05	0.8898938576990447	0.8506133218043677	0.9263409984995142	162	66	46	ok	0.890 [0.851, 0.926]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.13056664462846093	0.08216855540801006	0.1796579427578037	162	66	46	ok	+0.131 [0.082, 0.180]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.31977782773714897	0.27202115515787867	0.356038131821672	162	66	46	ok	+0.320 [0.272, 0.356]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.22348391238737317	0.1791684480804785	0.2593875032481953	162	66	46	ok	+0.223 [0.179, 0.259]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.3546282389177806	0.31382160270867804	0.3888727841877299	162	66	46	ok	+0.355 [0.314, 0.389]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_centroid_direction_agreement_pair_p05	0.7241214080016491	0.6922914667504542	0.7514600490861465	162	155	90	ok	0.724 [0.692, 0.751]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05	0.5701160299618958	0.5614498664161831	0.5790639124213732	162	66	46	ok	0.570 [0.561, 0.579]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.8723671248662931	0.8083046532558195	0.914367271056463	162	66	46	ok	0.872 [0.808, 0.914]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.871273861856962	0.8101742033184528	0.9131683469485576	162	66	46	ok	0.871 [0.810, 0.913]
