dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.35279398725441724	0.3403996686631363	0.36516717462808085	1060	1049	254	ok	0.353 [0.340, 0.365]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	0.31020944116847066	0.28583290121726895	0.33448866997761567	1060	1052	255	ok	0.310 [0.286, 0.334]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_target_peer_deg_lfc_spearman_pair_p05	0.04485921806646341	0.035817851928951844	0.05428579456571401	1060	1052	255	ok	0.045 [0.036, 0.054]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.7435688509652708	0.7175517861053762	0.7695249689545173	1060	1052	255	ok	0.744 [0.718, 0.770]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.7413995073403344	0.7152909465096905	0.7678255037560221	1060	1052	255	ok	0.741 [0.715, 0.768]
L1000 Phase1–L1000 Phase2	l1000_phase1	l1000_phase2	raw	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.33526067207596366	0.3225396795341771	0.3487900322161206	1060	1051	255	ok	0.335 [0.323, 0.349]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.18834554743883364	-0.24839481273626846	-0.1309683635414234	162	71	51	ok	-0.188 [-0.248, -0.131]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.2397773039545961	0.18388031301401117	0.30021128689733523	162	71	51	ok	+0.240 [0.184, 0.300]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.047114007197791366	-0.03512379896472852	0.11181085284607016	162	71	51	ok	+0.047 [-0.035, 0.112]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.312328810398647	0.24729025456553155	0.36765988225705126	162	71	51	ok	+0.312 [0.247, 0.368]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_observed_deg_lfc_spearman_sym_p05	0.39513772113210355	0.3349711188423278	0.45687614106097324	162	71	51	ok	0.395 [0.335, 0.457]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.4750175049533004	0.4152344203756404	0.5234202712867784	162	147	87	ok	0.475 [0.415, 0.523]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.09686127706303688	0.07759979501754115	0.11365447595359716	162	147	87	ok	0.097 [0.078, 0.114]
