dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
3x	2	3.0	0.47712125471966244	False	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.36495289553172255	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.16443113314846886
3x	2	3.0	0.47712125471966244	False	l1000_phase1	cigs_mce	1395	126	123	2	1395	126	0.3775031377346485	0.5581053333287542	-0.19038343246322575	0.8779788014138687	0.8190433096721791	0.05518091327483505
3x	2	3.0	0.47712125471966244	False	l1000_phase1	l1000_phase2	49768	2795	248	16	49768	1019	0.37175833452314677	0.4577594898946657	-0.09535174381788368	0.9189525689956697	0.7251095975240516	0.1567395065058898
3x	2	3.0	0.47712125471966244	False	l1000_phase1	sciplex	2689	290	90	2	2647	161	0.39513772113210355	0.47633618652272763	-0.18834554743883364	0.8881999170482607	0.7236901149332148	0.12935290901567637
3x	2	3.0	0.47712125471966244	False	l1000_phase1	tahoe	600	149	86	3	600	111	0.17415392046766848	0.3612419891123853	-0.24999719289328456	0.735567815403538	0.7293357409685798	-0.017595526335950504
3x	2	3.0	0.47712125471966244	False	l1000_phase2	cigs_mce	499	67	67	1	499	67	0.4821758481453532	0.6438415837475928	-0.15462390929557562	0.9279959974619908	0.8363607376156039	0.10210844863185899
3x	2	3.0	0.47712125471966244	False	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.49083671164745035	0.394572338593934	-0.10704485277801415	0.9492136233388188	0.6826053698142059	0.18624377057611713
3x	2	3.0	0.47712125471966244	False	l1000_phase2	tahoe	1473	402	110	2	1473	134	0.08424644027302705	0.30180600730734247	-0.30535169974086596	0.6748082536247473	0.6857835363247601	-0.09307537171183428
3x	2	3.0	0.47712125471966244	False	tahoe	sciplex	170	69	23	1	170	23	0.123839188230352	0.5993371814454159	-0.46548863878874897	0.8957179320303897	0.8316508665979963	0.08321488503243146
10x_reference	3	10.0	1.0	True	cigs_mce	cigs_tcm	15973	1911	974	2	15964	1910	0.36495289553172255	0.4408347049805479	-0.1288934858116957	0.9233007712062546	0.7361058587592503	0.16443113314846886
10x_reference	3	10.0	1.0	True	l1000_phase1	cigs_mce	1401	127	124	2	1401	127	0.3731904684732765	0.5569056515144399	-0.192704429572322	0.8726738576891024	0.8178820348267476	0.052562381537347984
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	50695	2836	257	17	50695	1060	0.3715759013036289	0.4558129229163247	-0.09433094474177613	0.9174928909719515	0.7244357240285955	0.1561501832447502
10x_reference	3	10.0	1.0	True	l1000_phase1	sciplex	2695	291	90	2	2653	162	0.39513772113210355	0.4750175049533004	-0.18834554743883364	0.8898938576990447	0.7241214080016491	0.13056664462846093
10x_reference	3	10.0	1.0	True	l1000_phase1	tahoe	610	152	86	3	610	114	0.17415392046766848	0.36247854047859424	-0.24999719289328456	0.735567815403538	0.7306995970616412	-0.017595526335950504
10x_reference	3	10.0	1.0	True	l1000_phase2	cigs_mce	508	68	68	1	508	68	0.47868769414294465	0.6475271932557559	-0.16256781177787152	0.9194360775127509	0.8361616986353233	0.0936097579200914
10x_reference	3	10.0	1.0	True	l1000_phase2	sciplex	3192	381	83	2	3133	127	0.49083671164745035	0.394572338593934	-0.10704485277801415	0.9492136233388188	0.6826053698142059	0.18624377057611713
10x_reference	3	10.0	1.0	True	l1000_phase2	tahoe	1473	402	110	2	1473	134	0.08424644027302705	0.30180600730734247	-0.30535169974086596	0.6748082536247473	0.6857835363247601	-0.09307537171183428
10x_reference	3	10.0	1.0	True	tahoe	sciplex	170	69	23	1	170	23	0.123839188230352	0.5993371814454159	-0.46548863878874897	0.8957179320303897	0.8316508665979963	0.08321488503243146
