dose_threshold	threshold_order	max_fold_difference	max_abs_delta_log10_dose	is_reference	dataset_a	dataset_b	cell_type	n_matched_sample_pairs	n_matching_conditions	n_matching_drugs	n_eligible_contexts	n_scored_sample_pairs	n_scored_drug_line_times	mean_observed_deg_lfc_spearman_sym_p05	mean_baseline_pair_deg_lfc_spearman_p05	mean_delta_vs_baseline_pair_deg_lfc_spearman_p05	mean_observed_direction_agreement_p05	mean_baseline_pair_direction_agreement_p05	mean_delta_vs_baseline_pair_direction_agreement_p05
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0023	8049	237	152	2	1752	16.0	0.31629320890863294	0.4281259906195322	-0.17256640545865062	0.9089805230351615	0.7458951120249473	0.12018455302509343
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0031	11741	615	179	1	3159	136.0	0.06006135339357075	0.3015554213841449	-0.23880695219080145	0.8431925056728876	0.6830395291879238	0.1411498211689481
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0033	3143	247	63	1	1636	63.0	0.18495367218631714	0.3677367384987095	-0.22722192540176236	0.955041377521674	0.666610566994492	0.22258362339889726
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0035	6722	190	118	1	768	15.0	-0.008266253301068397	0.30015720021362013	-0.29823681448514827	0.655921692577211	0.673702071550472	-0.02061342788151877
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0062	3739	370	94	1	1968	94.0	0.17134418661405365	0.3466212844275099	-0.1621310289512563	0.9224486689345633	0.6886375970697106	0.18870861938831618
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0132	3121	114	43	2	1197	17.0	0.3229493893086418	0.5430618480004118	-0.21565490403601134	0.8963037019677105	0.7826620651898616	0.055657999073743254
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0178	2670	251	63	1	1367	63.0	0.2646019475513455	0.5006256914765248	-0.15403351111313113	0.9323749851835096	0.7690681570975475	0.13640895135132655
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0320	1824	68	34	1	504	9.0	0.012703493759564385	0.27524608918103	-0.26032633360221924	0.7346371882086168	0.6397636382250247	0.06657033682032108
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0332	2220	251	63	1	1149	63.0	0.18914933147853152	0.40971090900596746	-0.24570643925734925	0.9641963382176787	0.7160699920241631	0.2220393656808592
10x_reference	3	10.0	1.0	True	l1000_phase1	l1000_phase2	CVCL_0598	2348	250	63	1	1197	63.0	0.2190965079077428	0.448290396943232	-0.22123809779150488	0.8979070749843082	0.7462959393965362	0.061904314299332616
