dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.037680684116775776	0.01963941197619989	0.06382726659131296	0.022093927307556535	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.2742542043075995	0.25266420563134334	0.29782824165171534	0.022582018010186	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.2365735201908237	-0.2600301908335985	-0.21092428548950748	0.02455295267204552	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_target_centroid_spearman_logfc_pair	mean_pb_target_centroid_spearman_logfc_pair	-0.016617075243389595	-0.024591049940868036	-0.007806261962782924	0.008392393989042556	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_delta_vs_target_centroid_spearman_logfc	mean_pb_delta_vs_target_centroid_spearman_logfc	0.05429775936016537	0.036898691626484924	0.07607905248077439	0.01959018042714473	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair	mean_pb_source_peer_spearman_logfc_pair	0.10435505209441134	0.09815474808023819	0.1108939691328259	0.0063696105262938535	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_delta_vs_source_peer_spearman_logfc	mean_pb_delta_vs_source_peer_spearman_logfc	-0.06667436797763555	-0.08491595245435002	-0.043576880210033385	0.020669536122158317	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_sd_score	0.14026838033712094	0.13382560074935415	0.14766439647339316	0.006919397862019505	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	0.3488029466279777	0.31123781609223405	0.3953934534755057	0.04207781869163582	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	0.35126378809965186	0.31474153825821266	0.40142523427901955	0.043341848010403444	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
